Pick,Available Rank,Player,Position,Team,Mean,Floor,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
94,,Tom Brady,QB,TB,453,438,466,10.5,10,27.6,10,3,76.8,18,Q,4,NA,38.4,8.31,4.36,NA,999
55,,Rashaad Penny,RB,SEA,150,121,198,24.4,75,46.3,4.36,9,77.4,12.5,NA,30,3,NA,NA,4.63,NA,66
58,,Devin Singletary,RB,BUF,152,126,186,26.5,78,48.6,2.26,8,80,12.6,NA,29,4,NA,NA,2.36,Q,67
16,,Darnell Mooney,WR,CHI,140,133,164,6.29,17,34.7,2.67,6,80.3,9.68,NA,26,NA,106,15.1,3.57,NA,68
67,,DeAndre Hopkins,WR,ARI,107,94.7,128,10.4,56,1.19,0.389,8,80.4,15.4,S,46,9,163,33.8,6.85,NA,69
0,TE1,Daniel Bellinger,TE,NYG,54.6,37.8,71.7,15.9,94,-3.02,0.975,10,80.8,5.71,NA,31,,,,,,70
49,,JuJu Smith-Schuster,WR,KC,131,109,145,9.84,35,25.9,1.91,6,80.9,16.1,Q,33,NA,216,41.8,5.69,NA,71
32,,Amon-Ra St. Brown,WR,DET,141,125,156,18.2,52,35.9,0.776,6,81.6,13.1,NA,24,6,105,24.1,3.9,NA,72
37,,Tony Pollard,RB,DAL,138,128,152,9.91,14,34.5,2.11,9,82.1,10.5,NA,33,NA,20.3,6.02,4.38,NA,73
52,,Cordarrelle Patterson,RB,ATL,156,143,174,10.9,27,52.6,1.31,8,84.3,10.7,NA,27,NA,290,52.3,6.87,NA,74
22,,Kenneth Walker III,RB,SEA,126,103,143,17.6,59,22.2,11.5,11,84.9,18.5,Q,37,NA,93.2,12.7,4.02,NA,75
40,,Matthew Stafford,QB,LAR,432,395,462,29.2,39,5.82,0.653,3,85.2,14.5,Q,8,NA,8.15,6.75,5.1,NA,999
38,,Kareem Hunt,RB,CLE,136,107,161,14.6,30,32.4,3.55,9,87.5,12.5,NA,34,1,NA,NA,7.04,NA,76
75,,Elijah Moore,WR,NYJ,130,101,147,15.2,41,24,0.283,6,90.4,8.07,NA,34,NA,213,68.3,10.9,NA,77
110,,Melvin Gordon,RB,DEN,133,118,154,13.9,29,28.8,1.98,9,91.6,10.7,NA,35,NA,40.2,7.72,4.31,NA,78
