Pick,Available Rank,Player,Position,Team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,injury_status,Flex Rank,Pts Per Game,ADP Pressure,Team
150,,Kyler Murray,QB,ARI,263,45.1,7.9,220,309,-120,-137,-104,1260,1270,1040,30,13,140,14.8,94,,999,15.5,106,Chad
0,DL20,Chris Jones,DL,KC,60.9,0.148,0.405,60.8,61,-14,-8.56,-27.3,277,234,375,29,7,NA,7.8,1,,999,3.6,,
0,DB29,Marshon Lattimore,DB,NO,89.5,10.4,0.848,80.9,96.7,-14.2,-12.4,-25.4,279,274,361,37,3,NA,1.75,60,,999,5.3,,
0,DL21,Demarcus Lawrence,DL,DAL,60.5,7.1,0.137,50.9,78.6,-14.5,-18.5,-9.73,281,339,223,30,7,NA,4.22,74,,999,3.6,,
0,DL22,Trey Hendrickson,DL,CIN,60.4,4.27,0.352,51.9,78.2,-14.6,-17.5,-10.1,284,323,226,31,7,NA,5.09,49,,999,3.6,,
155,,Greg Dulcich,TE,DEN,84.4,10.7,0.801,74.8,94.5,22.5,30.1,20.8,88,77,94,12,5,131,3.64,32,NA,81,5.0,99,Stephen
0,DL23,ZaDarius Smith,DL,CLE,60,6.15,0.723,51.7,75.6,-14.9,-17.7,-12.8,293,327,251,32,8,NA,6.82,70,,999,3.5,,
0,DB30,Jevon Holland,DB,MIA,88.7,0.786,0.07,80.2,110,-15.1,-13.2,-12.1,295,278,241,38,3,NA,NA,2,,999,5.2,,
0,DB31,Jonathan Owens,DB,GB,88.6,30.5,0.055,70.1,107,-15.2,-23.3,-15,297,401,272,39,3,NA,8.23,98,,999,5.2,,
0,DB32,Kyler Gordon,DB,CHI,88.5,21.4,0.05,74.1,105,-15.2,-19.2,-16.8,298,349,293,40,3,NA,NA,85,,999,5.2,,
0,DB33,Rodney Thomas II,DB,IND,88.5,8.01,0.268,83.2,93.5,-15.3,-10.1,-28.6,299,250,385,41,3,NA,NA,45,,999,5.2,,
0,DB34,Tyrann Mathieu,DB,NO,88.2,2.19,0.385,79.4,109,-15.5,-13.9,-13.2,301,282,253,42,3,NA,NA,12,,999,5.2,,
0,DL24,Javon Hargrave,DL,SF,59.3,5.46,0.483,50.8,76.1,-15.7,-18.6,-12.3,302,341,242,33,8,NA,14.3,62,,999,3.5,,
0,LB26,Cody Barton,LB,WAS,103,12.2,0.593,79.2,152,-15.8,-27.3,-5.83,303,450,205,35,5,NA,NA,61,,999,6.1,,
0,DB35,Donovan Wilson,DB,DAL,87.8,16,0.245,74.8,106,-15.9,-18.5,-15.8,305,340,283,43,3,NA,4.66,75,,999,5.2,,
0,DL25,Shaquil Barrett,DL,TB,58.8,1.78,0.44,57.7,59.9,-16.1,-11.7,-28.5,307,267,384,34,8,NA,NA,26,,999,3.5,,
156,,Gerald Everett,TE,LAC,74.3,2.64,0.141,71.1,82.6,12.4,26.4,8.8,101,88,127,17,6,153,3.3,6,NA,90,4.4,115,Toast
0,DB36,Terrell Edmunds,DB,PHI,87.5,20.8,1.32,74.9,100,-16.2,-18.4,-21.9,309,338,325,45,3,NA,2.18,83,,999,5.1,,
0,LB27,Michael Hoecht,LB,LAR,102,NA,1.21,102,102,-16.3,-4.32,-56,310,182,690,36,5,NA,3.55,NA,,999,6.0,,
0,DL26,Dexter Lawrence,DL,NYG,58.4,1.59,0.26,46.4,87.8,-16.6,-22.9,-0.514,313,396,160,35,8,NA,NA,21,,999,3.4,,
0,DL27,Joey Bosa,DL,LAC,58.1,1.33,0.335,57.3,58.9,-16.8,-12.1,-29.4,315,269,397,36,8,NA,15.4,15,,999,3.4,,
0,DL28,Zach Sieler,DL,MIA,57.8,1.02,0.965,47.8,82.8,-17.2,-21.6,-5.57,319,376,202,37,8,NA,4.75,11,,999,3.4,,
0,LB28,Patrick Queen,LB,BAL,101,2.12,0.468,87.7,134,-17.6,-18.8,-24.7,323,343,355,37,5,NA,NA,14,,999,5.9,,
0,DB37,Michael Jackson,DB,SEA,86.2,NA,0.25,86.2,86.2,-17.6,-7.11,-35.9,324,217,464,46,3,NA,NA,NA,,999,5.1,,
0,DB38,Marlon Humphrey,DB,BAL,85.9,10.2,0.0625,79.4,92.3,-17.8,-14,-29.8,325,284,401,47,3,NA,NA,58,,999,5.1,,
0,DB39,Richie Grant,DB,ATL,85.9,4.49,0.065,68.9,126,-17.9,-24.4,3.56,326,412,142,48,3,NA,NA,25,,999,5.1,,
0,DB40,Jamal Adams,DB,SEA,85.8,1.91,1.29,81.8,94.3,-17.9,-11.5,-27.8,327,264,380,49,4,NA,6.43,8,,999,5.0,,
0,LB29,Zaven Collins,LB,ARI,101,33.4,1.01,80.3,121,-18,-26.3,-37.4,328,436,475,38,5,NA,NA,92,,999,5.9,,
0,DL29,Tyus Bowser,DL,BAL,56.8,10.7,1.25,50.3,63.3,-18.1,-19.1,-25.1,329,348,358,38,9,NA,2.93,87,,999,3.3,,
0,LB30,Alex Highsmith,LB,PIT,99.6,NA,0.397,99.6,99.6,-19,-7.01,-58.7,334,214,724,39,5,NA,8.47,NA,,999,5.9,,
0,DB41,Deommodore Lenoir,DB,SF,84.5,22.2,0.035,67.2,108,-19.2,-26.2,-13.9,335,434,261,50,4,NA,3.79,87,,999,5.0,,
0,DB42,Carlton Davis,DB,TB,84.5,3.47,0.267,78,97.9,-19.3,-15.3,-24.2,336,301,346,51,4,NA,NA,22,,999,5.0,,
0,DL30,Gregory Rousseau,DL,BUF,55.6,2.3,0.582,54.2,56.9,-19.4,-15.2,-31.4,338,299,416,39,9,NA,NA,33,,999,3.3,,
0,LB31,Christian Harris,LB,HOU,99.2,28.6,0.178,76.5,130,-19.4,-30.1,-27.8,339,489,381,40,5,NA,NA,88,,999,5.8,,
0,DB43,Julian Love,DB,SEA,84.2,0.504,0.175,82.3,88.7,-19.5,-11,-33.4,340,261,438,52,4,NA,5.83,1,,999,5.0,,
0,LB32,Alex Anzalone,LB,DET,99,38.8,0.482,69,139,-19.6,-37.5,-19,341,604,298,41,6,NA,9.48,94,,999,5.8,,
0,DB44,Jimmie Ward,DB,HOU,84.1,2.88,0.273,78.9,87.1,-19.7,-14.4,-35,342,291,457,53,4,NA,NA,17,,999,4.9,,
0,DL31,Dre'Mont Jones,DL,SEA,55,1.76,1.02,47.3,73.1,-20,-22.1,-15.2,346,381,276,40,9,NA,NA,25,,999,3.2,,
0,DB45,Jonathan Jones,DB,NE,83.8,9.19,0.05,75.6,96.1,-20,-17.7,-26,347,328,364,54,4,NA,NA,50,,999,4.9,,
0,DB46,Adoree Jackson,DB,NYG,83.7,5.62,0.195,74.9,101,-20,-18.4,-20.9,348,337,315,55,4,NA,NA,30,,999,4.9,,
0,LB33,Divine Deablo,LB,LVR,98.5,5.95,0.303,85.8,126,-20.1,-20.8,-32.5,349,367,425,42,6,NA,21.1,35,,999,5.8,,
0,DB47,Charvarius Ward,DB,SF,83.5,9.81,0.517,73.7,99.5,-20.2,-19.6,-22.6,350,354,330,56,4,NA,3.58,53,,999,4.9,,
0,LB34,Jamin Davis,LB,WAS,98.2,0.875,1.51,79.6,146,-20.4,-27,-12.5,353,446,248,43,6,NA,NA,6,,999,5.8,,
0,DB48,Reed Blankenship,DB,PHI,83,26.3,0.185,67.1,99,-20.7,-26.2,-23.2,355,435,336,57,4,NA,6,97,,999,4.9,,
0,DB49,Camryn Bynum,DB,MIN,82.8,19.4,0.0675,69.9,97.5,-20.9,-23.4,-24.6,357,404,354,58,4,NA,NA,80,,999,4.9,,
0,DL32,Jaelan Phillips,DL,MIA,54,1.56,0.35,53,54.9,-21,-16.4,-33.4,359,313,439,41,9,NA,NA,20,,999,3.2,,
0,DB50,Jayron Kearse,DB,DAL,82.8,6,1.06,73.9,100,-21,-19.5,-22,358,352,326,59,4,NA,NA,32,,999,4.9,,
0,DL33,Denico Autry,DL,TEN,53.6,3.85,0.15,51.3,55.9,-21.3,-18.1,-32.4,361,333,422,42,9,NA,NA,48,,999,3.2,,
0,DST29,Cardinals,DST,ARI,76.9,5.06,1.12,26.1,89.8,-21.4,-6.14,-24,362,201,345,27,13,NA,NA,55,,999,4.5,,
0,DL34,Khyiris Tonga,DL,MIN,53.4,53.6,1.75,20.9,86,-21.5,-48.5,-2.35,363,764,173,43,10,NA,NA,99,,999,3.1,,
0,LB35,Quincy Williams,LB,NYJ,96.7,0.771,0.225,84,129,-21.9,-22.6,-29.2,364,392,395,44,6,NA,10.6,4,,999,5.7,,
0,LB36,Nicholas Morrow,LB,PHI,96.5,0.311,0.648,84.3,128,-22.1,-22.2,-30.5,367,388,405,45,6,NA,5.9,1,,999,5.7,,
0,DB51,Justin Reid,DB,KC,81.7,15.9,0.157,69.6,97.9,-22.1,-23.8,-24.2,365,407,348,60,4,NA,NA,73,,999,4.8,,
0,DB52,Jalen Ramsey,DB,MIA,81.6,6.6,0.01,75.7,90.3,-22.2,-17.6,-31.9,368,325,419,61,4,NA,NA,38,,999,4.8,,
0,DB53,Brandon Jones,DB,MIA,81.5,18.5,0.215,52.8,138,-22.2,-40.5,16,369,663,104,62,4,NA,NA,78,,999,4.8,,
0,DB54,Vonn Bell,DB,CAR,81.3,8.81,0.155,70.2,102,-22.4,-23.1,-20.4,371,399,311,63,4,NA,NA,47,,999,4.8,,
0,DST30,Panthers,DST,CAR,75.8,11.8,2.08,24.1,87.9,-22.6,-8.18,-26,373,230,362,28,14,NA,NA,77,,999,4.5,,
0,DB55,Darrick Forrest,DB,WAS,81.2,7.24,0.0775,63.4,120,-22.6,-29.9,-1.73,374,486,168,64,4,NA,6.1,43,,999,4.8,,
0,LB37,Matt Judon,LB,NE,95.8,NA,1.54,95.8,95.8,-22.8,-10.7,-62.4,377,258,753,46,6,NA,8.69,NA,,999,5.6,,
0,DL35,Von Miller,DL,BUF,51.7,4.89,0.3,48.7,54.7,-23.2,-20.6,-33.7,381,364,441,44,10,NA,4.15,56,,999,3.0,,
0,DL36,Alex Highsmith,DL,PIT,51.4,6.82,0.95,47.3,55.5,-23.5,-22.1,-32.8,382,385,429,45,10,NA,8.47,72,,999,3.0,,
0,K27,Matt Prater,K,ARI,132,9.34,0.525,117,147,-24.2,-25.6,-38.1,389,427,482,21,3,NA,2.21,63,,999,7.8,,
0,LB38,Haason Reddick,LB,PHI,94.3,NA,0.95,94.3,94.3,-24.3,-12.3,-64,391,272,768,47,6,NA,10.7,NA,,999,5.5,,
0,DL37,Josh Allen,DL,JAC,50.4,17.1,0.178,40.1,60.8,-24.5,-29.3,-27.5,395,475,376,46,10,NA,10.6,92,,999,3.0,,
0,DL38,B.J. Hill,DL,CIN,50.3,0.801,0.322,40.4,75.1,-24.7,-29,-13.2,398,468,254,47,10,NA,NA,8,,999,3.0,,
0,DL39,Chandler Jones,DL,LVR,50,2,0.195,48.7,51.2,-25,-20.6,-37.2,400,363,472,48,10,NA,6.84,31,,999,2.9,,
0,DL40,Dean Lowry,DL,MIN,49.8,48.6,0.455,20.3,79.2,-25.2,-49.1,-9.1,401,770,219,49,10,NA,NA,98,,999,2.9,,
0,LB39,Jaelan Phillips,LB,MIA,93.3,NA,0.107,93.3,93.3,-25.3,-13.2,-64.9,402,279,778,48,6,NA,NA,NA,,999,5.5,,
0,LB40,Quay Walker,LB,GB,93.2,3.53,1.14,79.7,125,-25.4,-26.9,-33.2,403,442,435,49,6,NA,NA,24,,999,5.5,,
0,K28,Chase McLaughlin,K,TB,131,8.58,0.246,111,141,-25.5,-31.3,-45,404,504,556,23,3,NA,NA,33,,999,7.7,,
0,DL41,Michael Hoecht,DL,LAR,49.3,4.89,1.2,46.3,52.3,-25.6,-23,-36.1,405,398,466,50,10,NA,3.55,56,,999,2.9,,
0,LB41,Joey Bosa,LB,LAC,92.1,NA,0.232,92.1,92.1,-26.5,-14.5,-66.2,409,292,787,50,6,NA,15.4,NA,,999,5.4,,
0,DST31,Falcons,DST,ATL,71.8,14.2,5.21,21.7,90.5,-26.6,-10.6,-23.3,410,256,338,30,16,NA,NA,81,,999,4.2,,
0,DL42,James Houston,DL,DET,48.1,NA,0.1,48.1,48.1,-26.8,-21.3,-40.2,415,370,509,51,10,NA,NA,NA,,999,2.8,,
0,LB42,Shaq Green-Thompson,LB,CAR,91.8,2.76,0.818,70.7,144,-26.8,-35.8,-14.2,412,570,264,51,7,NA,13.4,20,,999,5.4,,
0,DL43,Leonard Floyd,DL,BUF,48,NA,0.45,48,48,-26.9,-21.4,-40.3,418,371,511,52,11,NA,NA,NA,,999,2.8,,
0,DL44,Travon Walker,DL,JAC,48,1.48,0,47.1,48.9,-26.9,-22.3,-39.4,418,389,502,52,11,NA,NA,16,,999,2.8,,
0,DL45,Brandon Graham,DL,PHI,47.6,2.3,0.5,46.2,48.9,-27.4,-23.2,-39.4,419,400,501,53,11,NA,NA,33,,999,2.8,,
0,LB43,Leighton Vander Esch,LB,DAL,91,13.4,0.0775,70.4,132,-27.6,-36.2,-26.5,422,578,369,52,7,NA,7.68,67,,999,5.4,,
0,LB44,Elandon Roberts,LB,PIT,90.9,13.4,0.542,69.4,134,-27.6,-37.2,-24.2,423,597,347,53,7,NA,8.62,67,,999,5.3,,
0,DL46,Bud Dupree,DL,ATL,47,1.56,0.35,46.1,48,-27.9,-23.3,-40.3,425,402,512,54,11,NA,1.39,18,,999,2.8,,
0,K29,Joey Slye,K,WAS,128,4.58,0.121,123,141,-28.1,-19.8,-44.7,430,358,553,26,3,NA,NA,10,,999,7.5,,
0,DL47,Jermaine Johnson,DL,NYJ,46.7,NA,0.55,46.7,46.7,-28.2,-22.7,-41.6,433,394,527,55,11,NA,NA,NA,,999,2.7,,
0,LB45,Chris Kirksey,LB,HOU,90.4,NA,1.22,90.4,90.4,-28.2,-16.2,-67.8,432,312,802,54,7,NA,12.7,NA,,999,5.3,,
0,K30,Cade York,K,CLE,128,8.05,0.217,120,139,-28.3,-22.7,-46.3,434,395,576,27,3,NA,NA,57,,999,7.5,,
0,DL48,Darrell Taylor,DL,SEA,46.2,4.67,0.4,43.3,49,-28.8,-26.1,-39.3,443,432,500,56,11,NA,NA,52,,999,2.7,,
0,DL49,Leonard Williams,DL,NYG,45.8,0.371,0.25,45.5,46,-29.2,-23.8,-42.4,448,409,532,57,11,NA,NA,3,,999,2.7,,
0,DL50,George Karlaftis,DL,KC,45.5,3.71,0.24,43.2,47.8,-29.4,-26.1,-40.6,452,433,514,58,11,NA,NA,46,,999,2.7,,
0,LB46,Willie Gay,LB,KC,89.2,4.03,0.59,78.4,113,-29.4,-28.2,-44.8,451,460,555,55,7,NA,NA,29,,999,5.2,,
0,DL51,Kenny Clark,DL,GB,45.3,8.98,0.26,30.9,73.9,-29.7,-38.5,-14.5,453,623,268,59,11,NA,NA,82,,999,2.7,,
0,DL52,Grady Jarrett,DL,ATL,45,0.297,1.15,44.8,45.2,-29.9,-24.6,-43.2,455,413,538,60,12,NA,NA,2,,999,2.6,,
0,LB47,David Long,LB,MIA,88.6,60.4,0.285,41.2,129,-30,-65.3,-28.9,456,902,388,56,7,NA,9.53,99,,999,5.2,,
0,LB48,Demario Davis,LB,NO,88.3,8.21,0.14,70.6,126,-30.3,-36,-31.8,463,571,417,57,7,NA,12.5,45,,999,5.2,,
0,K31,John Parker Romo,K,DET,126,NA,2.23,126,126,-30.4,-16.5,-59.5,464,317,733,29,4,NA,NA,NA,,999,7.4,,
0,LB49,Germaine Pratt,LB,CIN,88.2,14.5,0.08,67.5,128,-30.4,-39.1,-30.4,465,632,403,58,7,NA,7.06,76,,999,5.2,,
0,LB50,Jacob Phillips,LB,CLE,88.1,52.9,0.0475,56,120,-30.5,-50.6,-38,466,782,480,59,7,NA,NA,98,,999,5.2,,
0,LB51,Ja'Whaun Bentley,LB,NE,88,2.55,0.0225,70.3,132,-30.6,-36.3,-26.4,467,579,368,60,7,NA,7.06,18,,999,5.2,,
0,LB52,Azeez Al-Shaair,LB,TEN,88,8.98,0.265,63.1,144,-30.6,-43.4,-14.3,468,701,265,61,7,NA,16.8,53,,999,5.2,,
0,LB53,Anthony Nelson,LB,TB,87.8,NA,0.14,87.8,87.8,-30.8,-18.8,-70.5,470,342,829,62,7,NA,NA,NA,,999,5.2,,
0,LB54,Josh Allen,LB,JAC,87.6,NA,0.16,87.6,87.6,-31,-18.9,-70.6,472,346,832,63,7,NA,10.6,NA,,999,5.2,,
0,DL53,DeMarcus Walker,DL,CHI,43.8,4.67,0.45,41,46.7,-31.1,-28.4,-41.6,474,462,528,61,12,NA,NA,52,,999,2.6,,
0,LB55,Terrel Bernard,LB,BUF,87.4,5.41,0.337,84.2,90.7,-31.1,-22.4,-67.5,475,390,798,64,7,NA,3.67,33,,999,5.1,,
0,DL54,Zach Allen,DL,DEN,43.4,9.79,0.95,37.5,49.3,-31.5,-31.9,-39,480,518,496,62,12,NA,NA,85,,999,2.6,,
0,DL55,Arik Armstead,DL,SF,42.4,5.11,0.15,39.3,45.6,-32.5,-30,-42.8,491,488,536,63,12,NA,NA,59,,999,2.5,,
0,DST32,Raiders,DST,LVR,65.8,13.3,0,19.4,89.1,-32.6,-12.8,-24.7,494,277,356,32,17,NA,NA,61,,999,3.9,,
0,DL56,Preston Smith,DL,GB,42.3,11.4,0.45,35.4,49.2,-32.6,-34,-39.1,495,551,497,64,12,NA,NA,89,,999,2.5,,
0,K32,Anders Carlson,K,GB,121,10.2,0.65,112,132,-35,-30.1,-53.2,534,490,663,32,4,NA,NA,50,,999,7.1,,
0,RB5,Dontrell Hilliard,RB,FA,60.2,2.59,0.0175,58.7,61.8,-51.4,-33.3,-71.5,737,535,839,62,16,NA,1,27,,999,3.5,,
57,,Roschon Johnson,RB,,,,,,,,,,,,,,,,,,,,0.0,0,
70,,Sky Moore,WR,KC,,,,,,,,,,,,,,,,,,,0.0,0,
92,,Hyatt,WR,,,,,,,,,,,,,,,,,,,,0.0,0,
93,,Miller,RB,,,,,,,,,,,,,,,,,,,,0.0,0,
113,,Metchie,WR,,,,,,,,,,,,,,,,,,,,0.0,0,
118,,Dell,WR,,,,,,,,,,,,,,,,,,,,0.0,0,
119,,White,RB,,,,,,,,,,,,,,,,,,,,0.0,0,
130,,Young,DL,,,,,,,,,,,,,,,,,,,,0.0,0,
133,,Rice,WR,,,,,,,,,,,,,,,,,,,,0.0,0,
138,,Downs,WR,,,,,,,,,,,,,,,,,,,,0.0,0,
144,,Williams,WR,,,,,,,,,,,,,,,,,,,,0.0,0,
147,,Doubs,WR,,,,,,,,,,,,,,,,,,,,0.0,0,
151,,Spiller,RB,,,,,,,,,,,,,,,,,,,,0.0,0,
152,,Vaughn,RB,,,,,,,,,,,,,,,,,,,,0.0,0,
153,,Brooks,WR,,,,,,,,,,,,,,,,,,,,0.0,0,
154,,Brown,RB,,,,,,,,,,,,,,,,,,,,0.0,0,
