Pick,Available Rank,Player,Position,Team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,injury_status,Flex Rank,Pts Per Game,ADP Pressure,Team
58,,Zach Charbonnet,RB,SEA,95,16.1,0.26,72.6,112,-16.6,-19.4,-21.7,314,351,323,47,13,112,12.5,68,,143,5.6,79,Joe
59,,George Kittle,TE,SF,122,15.1,3.77,104,148,60.1,59.6,74.5,36,36,30,3,2,43.5,16.1,65,NA,32,7.2,15,Ace
60,,Marquise Brown,WR,ARI,124,13.3,0.915,110,147,25.9,27.9,26.4,81,82,83,34,11,94.8,9.38,46,NA,74,7.3,62,Jason
61,,Evan Engram,TE,JAC,90,5.96,1.79,83.7,99.6,28.1,39.1,25.8,75,59,85,8,4,81.5,7.81,13,NA,68,5.3,51,Jason
62,,Rashaad Penny,RB,PHI,112,14.2,6.7,93.9,123,0,1.88,-10.1,154,144,225,40,12,97,6.75,41,NA,118,6.6,63,Ace
63,,Anthony Richardson,QB,IND,291,58.3,1.4,234,359,-92.1,-123,-54,1100,1260,673,27,11,110,27.7,87,,999,17.1,76,Joe
64,,Elijah Moore,WR,CLE,88.7,9.73,0.184,54.8,119,-9.13,-27,-1.2,226,445,163,61,15,128,3.83,43,NA,136,5.2,94,Face
65,,Devon Achane,RB,MIA,73.9,54.2,0.316,22.1,130,-37.7,-69.9,-2.98,564,938,180,55,15,115,11.5,99,,999,4.3,81,Toast
0,DST1,49ers,DST,SF,90.3,5.54,0.22,29.1,97.1,-8.04,-3.19,-16.7,208,174,291,5,2,97.9,3.85,1,NA,999,5.3,,
66,,Damien Harris,RB,BUF,100,6.2,2.51,86.7,120,-11.5,-5.25,-13.6,252,190,257,44,12,110,6.2,2,NA,140,5.9,76,Stephen
67,,Treylon Burks,WR,TEN,111,26.1,1.85,81.3,140,13.2,-0.453,19.9,98,157,95,40,12,105,5.99,89,NA,89,6.5,72,Chris
68,,Michael Thomas,WR,NO,102,10.4,1.78,73,118,4.47,-8.81,-2.73,127,237,178,46,13,115,8.99,63,NA,106,6.0,81,Tye
69,,Gabriel Davis,WR,BUF,125,13.1,0.625,114,135,26.8,32.7,15.1,78,70,105,32,10,101,6.93,48,NA,71,7.4,68,Kennedy
71,,Elijah Mitchell,RB,SF,104,9.55,0.62,74.5,116,-7.76,-17.5,-17.5,204,324,296,42,12,123,3.98,8,NA,133,6.1,88,Chad
72,,Samaje Perine,RB,DEN,116,21.7,2.94,93.9,144,4.86,1.89,10.3,126,143,124,38,11,112,8.11,70,NA,105,6.8,79,Kennedy
73,,Jordan Addison,WR,MIN,109,13.8,0.59,93.3,135,11.3,11.6,15.1,105,107,106,41,12,100,15.8,51,NA,93,6.4,66,Tye
74,,Jerick McKinnon,RB,KC,96.9,24.9,1.92,70.9,131,-14.7,-21.1,-2.24,287,369,171,46,13,127,6.61,76,,142,5.7,93,Chris
75,,Kadarius Toney,WR,KC,111,7.44,0.264,93.3,134,13.4,11.5,13.8,97,108,108,39,12,104,5.5,33,NA,88,6.5,71,Stephen
0,QB1,Daniel Jones,QB,NYG,370,23.4,2.94,335,405,-12.9,-22.1,-8.63,265,383,215,15,7,106,10.1,45,NA,999,21.8,,
76,,Brandin Cooks,WR,DAL,125,8.65,0.573,111,144,27.3,29.1,23.8,77,78,89,31,10,106,8.38,21,Q,70,7.4,73,Toast
77,,Jahan Dotson,WR,WAS,123,11.4,0.381,106,144,25,24.3,23.4,85,90,90,35,11,91.5,6.3,27,NA,78,7.2,58,Face
78,,Jaxon Smith-Njigba,WR,SEA,109,18.3,1.13,89.4,134,10.7,7.61,13.3,108,120,111,42,12,103,19.8,75,NA,95,6.4,70,Joe
79,,Jakobi Meyers,WR,LVR,104,8.44,1.32,88.3,116,5.8,6.56,-4.24,123,124,188,45,13,133,3.41,40,NA,103,6.1,101,Ace
80,,Tyler Allgeier,RB,ATL,94.7,21.5,3.73,63.2,121,-16.9,-28.8,-11.9,316,467,238,48,13,125,2.24,83,,144,5.6,91,Jason
81,,Raheem Mostert,RB,MIA,105,13.7,1.07,92,136,-6.7,0,2.76,195,154,145,41,12,132,4.2,44,NA,132,6.2,100,Jason
0,DST2,Eagles,DST,PHI,98.4,6.95,3.86,32.3,114,0,0,0,154,154,155,1,1,113,2.57,10,NA,999,5.8,,
0,QB2,Jared Goff,QB,DET,375,26.2,0.165,340,401,-8.77,-16.5,-12.4,220,316,246,13,6,114,10.1,55,NA,999,22.1,,
82,,Zay Flowers,WR,BAL,95.5,2.96,0.165,89.2,117,-2.34,7.43,-3,165,121,181,52,14,120,12.2,52,NA,122,5.6,86,Ace
83,,Tank Bigsby,RB,JAC,62.8,22.3,0.059,36.3,93.3,-48.8,-55.7,-40,704,828,508,59,15,130,6.17,95,,999,3.7,98,Joe
0,K1,Justin Tucker,K,BAL,156,11.6,5.15,143,186,0,0,0,154,154,155,1,1,116,5.4,20,Q,999,9.2,,
0,DST3,Cowboys,DST,DAL,93.8,14.2,3.44,28.8,107,-4.6,-3.45,-6.83,180,177,209,4,2,116,2.48,29,NA,999,5.5,,
