Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0.06,,Christian McCaffrey,RB,CAR,559,60.9,36.7,482,652,327,315,363,1,1,1,2,NA,1.04,0.19,4.7,NA,1
20,,Josh Allen,QB,BUF,551,18.8,2.51,523,568,128,145,78,20,16,39,2,NA,42.2,10.1,3.43,NA,999
0.03,,Patrick Mahomes,QB,KC,549,28.3,14.2,512,593,125,134,103,22,22,32,3,NA,25.8,11,3.67,NA,999
27,,Lamar Jackson,QB,BAL,535,18.6,4.8,503,554,111,124,64.1,28,23,46,4,NA,54.8,11,3.47,NA,999
0.09,,Kyler Murray,QB,ARI,530,30.7,29.1,493,582,106,115,92.1,30,28,34,5,NA,51.6,9.27,3.64,NA,999
0.1,,Dalvin Cook,RB,MIN,523,46.8,36.4,468,603,290,301,314,2,2,2,3,NA,2.22,0.73,3.61,NA,2
39,,Russell Wilson,QB,SEA,501,18,13.7,478,527,77,99.4,36.9,37,34,59,6,NA,70.2,8.38,3.32,NA,999
35,,Aaron Rodgers,QB,GB,487,18.1,1.51,471,516,63.3,92.4,26.1,41,35,67,7,NA,71.5,9.16,3.36,NA,999
0.07,,Derrick Henry,RB,TEN,486,59,31.1,402,582,254,235,293,3,3,3,4,NA,8.15,6.75,5.1,NA,3
0.04,,Dak Prescott,QB,DAL,485,26.2,3.36,438,514,61.8,59.7,23.5,42,47,71,8,NA,59.7,9.17,3.54,Q,999
31,,Justin Herbert,QB,LAC,482,26.6,21.5,445,502,58.5,66.2,12.3,43,43,86,9,NA,76.9,8.72,3.52,NA,999
71,,Tom Brady,QB,TB,461,25.1,1.68,425,501,36.9,46.9,10.7,54,58,88,10,NA,90.3,10.9,3.6,NA,999
74,,Jalen Hurts,QB,PHI,459,28.2,8.95,409,490,35.2,30.7,0,59,70,121,11,NA,94.8,11.7,3.71,Q,999
0.13,,Alvin Kamara,RB,NO,455,44.7,12.9,392,528,222,225,239,4,4,5,5,NA,3.66,1.35,3.49,NA,4
45,,Ryan Tannehill,QB,TEN,450,23.6,26.3,424,486,26.3,45.8,-4.58,67,60,138,12,NA,89.5,10,3.52,NA,999
0.05,,Ezekiel Elliott,RB,DAL,442,73.9,13.9,357,580,209,190,291,5,8,4,6,NA,6.13,2.55,5.95,NA,5
0.14,,Saquon Barkley,RB,NYG,428,40.2,9.05,387,488,196,220,199,6,5,7,7,NA,10.4,6.58,3.56,Q,6
0,QB1,Kirk Cousins,QB,MIN,424,19.7,8.42,405,460,0,26.6,-30.5,118,76,289,13,NA,125,15.9,3.74,NA,999
0.19,,Aaron Jones,RB,GB,419,33.7,4.36,365,457,187,198,168,7,7,13,8,NA,9.01,3.75,2.81,NA,7
78,,Matthew Stafford,QB,LAR,415,27.7,5.61,379,445,-8.42,0,-45.2,151,121,395,14,NA,98.5,10.2,3.62,NA,999
0.11,,Nick Chubb,RB,CLE,415,50.8,2.87,338,482,182,171,193,8,11,8,9,NA,20.3,6.02,4.38,NA,8
0.02,,Joe Mixon,RB,CIN,412,25.4,8.74,382,448,179,215,159,9,6,14,10,NA,22,7.81,2.48,NA,9
84,,Joe Burrow,QB,CIN,410,22.8,5.92,375,434,-14,-3.11,-56.5,177,137,448,15,NA,106,9.63,3.49,NA,999
95,,Trevor Lawrence,QB,JAC,404,31,1.64,366,457,-19.9,-12.5,-33.4,221,183,314,16,NA,121,17.8,4.08,NA,999
0.2,,Jonathan Taylor,RB,IND,403,46.2,6.47,330,467,171,163,178,10,12,10,11,NA,17,7.29,4.11,NA,10
119,,Matt Ryan,QB,ATL,402,18.3,3.63,373,417,-21.6,-6.01,-73,235,154,480,17,NA,122,16.3,3.73,NA,999
105,,Baker Mayfield,QB,CLE,398,34.4,8.18,368,464,-25.2,-10.1,-26,265,174,260,18,NA,139,23.8,4.45,NA,999
0.01,,Austin Ekeler,RB,LAC,397,42.8,12,340,457,164,173,168,12,10,12,12,NA,8.77,5.55,3.69,NA,11
0,QB2,Derek Carr,QB,LVR,390,32.4,1.46,363,447,-33.4,-15.9,-43.2,336,200,389,19,NA,164,28.6,4.66,NA,999
153,,Tua Tagovailoa,QB,MIA,389,34.4,0.684,345,439,-34.9,-33.6,-50.8,355,319,424,20,NA,144,29,4.72,NA,999
0,QB3,Ben Roethlisberger,QB,PIT,388,20.9,7.36,362,419,-35.5,-16.5,-70.9,361,204,476,21,NA,154,25.3,4.25,NA,999
1,,Najee Harris,RB,PIT,385,29.7,0.855,352,425,152,185,137,13,9,18,13,NA,24.2,9.32,2.95,NA,12
0.16,,David Montgomery,RB,CHI,384,48.2,12.3,322,441,151,155,152,14,15,15,14,NA,38.4,8.31,4.36,NA,13
113,,Ryan Fitzpatrick,QB,WAS,381,45,2.45,313,447,-42.9,-65.9,-43,419,442,387,22,NA,148,31.2,5.05,NA,999
0,QB4,Daniel Jones,QB,NYG,378,24.2,10.2,350,403,-45.4,-28.3,-87,437,284,506,23,NA,161,26.6,4.38,NA,999
0.08,,Antonio Gibson,RB,WAS,372,63.2,6.75,291,465,139,124,176,15,24,11,15,NA,20.5,6.7,5.43,NA,14
0,QB5,Deshaun Watson,QB,HOU,368,150,7.65,165,535,-55.6,-214,45.2,523,798,56,24,NA,258,88.4,10.2,NA,999
3,,D'Andre Swift,RB,DET,365,53,1.99,301,437,132,134,148,17,21,16,16,NA,31.6,8.98,4.8,Q,15
0.15,,Clyde Edwards-Helaire,RB,KC,363,37.5,1.08,325,412,130,158,123,18,13,24,17,NA,27,7.44,3.42,NA,16
0.18,,Chris Carson,RB,SEA,362,31.9,3.91,324,408,129,157,119,19,14,26,18,NA,37.5,7.63,2.99,NA,17
0,QB6,Zach Wilson,QB,NYJ,360,54.6,3.69,280,436,-63.2,-98.8,-54,570,503,439,25,NA,200,45.7,5.99,NA,999
0.26,,Josh Jacobs,RB,LVR,358,56.3,2.15,276,436,125,109,147,21,31,17,19,NA,52.3,7.26,4.93,NA,18
0,QB7,Sam Darnold,QB,CAR,357,41.6,5.41,274,382,-66.9,-105,-108,596,520,556,26,NA,184,40.4,5.45,NA,999
0.25,,Miles Sanders,RB,PHI,356,48.2,6.46,286,416,123,119,127,24,25,22,20,NA,46.6,9.65,4.47,NA,19
0,QB8,Jared Goff,QB,DET,351,49.9,7.28,299,435,-72.3,-79.6,-54.9,638,468,442,27,NA,216,41.8,5.69,NA,999
8,,Mike Davis,RB,ATL,349,34.5,8.62,307,394,117,140,105,26,17,31,21,NA,53.5,11.7,3.54,NA,20
0,QB9,Carson Wentz,QB,IND,344,39.7,16,282,389,-79.6,-96.2,-101,674,498,534,28,NA,205,56.5,6.23,Q,999
0.12,,Davante Adams,WR,GB,344,19.6,7.72,316,373,133,140,133,16,18,20,2,NA,6.03,2.02,2.83,NA,21
7,,J.K. Dobbins,RB,BAL,341,48.2,18.2,283,398,108,115,109,29,27,30,22,NA,40.2,7.72,4.31,NA,22
0.17,,Tyreek Hill,WR,KC,336,18.3,10.4,315,357,125,138,118,23,19,28,3,NA,10.1,2.08,2.67,NA,23
0,QB10,Cam Newton,QB,NE,328,98.8,10.2,195,438,-95.6,-184,-52.3,757,797,433,29,NA,226,58.4,7.56,NA,999
2,,Stefon Diggs,WR,BUF,326,32.3,12.8,282,364,115,106,124,27,32,23,4,NA,11,1.9,4.39,Q,24
13,,Darrell Henderson,RB,LAR,323,55.3,4.49,259,410,89.8,91.8,121,34,37,25,23,NA,50.5,15.4,5.53,NA,25
0.28,,Travis Kelce,TE,KC,319,43.4,49.2,266,386,167,138,212,11,20,6,1,1,16,2.74,4.56,NA,26
152,,Jameis Winston,QB,NO,318,84.6,4.28,218,465,-106,-161,-25.1,801,670,253,30,NA,243,64.1,7.56,NA,999
14,,Myles Gaskin,RB,MIA,318,36.2,15,272,367,85.3,105,77.6,35,33,40,24,NA,62.2,14,3.87,NA,27
111,,Trey Lance,QB,SF,314,188,14.2,116,621,-110,-262,131,818,799,21,31,NA,184,65,9.78,NA,999
0.23,,DeAndre Hopkins,WR,ARI,313,27.8,5.93,289,358,102,113,118,31,29,27,5,NA,12.6,3.05,3.94,Q,28
0.22,,Calvin Ridley,WR,ATL,307,15.9,16.9,286,331,95.8,110,91.3,33,30,35,6,NA,13.4,2.35,2.4,NA,29
9,,Chase Edmonds,RB,ARI,303,34.9,13.6,260,362,70.3,92.4,73,38,36,42,25,NA,69.5,14.2,3.78,NA,30
88,,Justin Fields,QB,CHI,299,227,61.7,38.6,682,-124,-340,192,852,802,9,32,NA,162,42.4,9.43,Q,999
0.21,,Justin Jefferson,WR,MIN,290,20.5,10.4,265,319,78.9,88.6,79.3,36,39,38,7,NA,19.3,4.98,3.22,Q,31
5,,James Robinson,RB,JAC,289,51.1,9.31,214,360,56.7,46.4,70.6,45,59,43,26,NA,85,17.6,5.37,NA,32
4,,Kareem Hunt,RB,CLE,280,40.7,10.7,220,342,47.4,52.8,52.5,49,51,50,27,NA,58,8.8,3.8,NA,33
0.3,,DK Metcalf,WR,SEA,280,23.5,0.728,245,308,68.5,68.4,68.5,39,42,44,8,NA,20.6,5.25,3.61,NA,34
16,,Keenan Allen,WR,LAC,279,32.6,9.92,224,323,67.8,48,83.3,40,55,37,9,NA,20.9,5.01,4.72,NA,35
10,,Darren Waller,TE,LVR,270,15.5,16.3,245,289,118,117,115,25,26,29,2,2,20.3,4.23,1.36,NA,36
23,,Damien Harris,RB,NE,269,25.7,7.9,228,297,36.6,60.4,7.84,56,46,97,28,NA,85.1,17.1,3.29,NA,37
11,,A.J. Brown,WR,TEN,269,19.1,2.76,248,293,57.8,71.7,53.2,44,40,49,10,NA,20.7,5.52,3.1,Q,38
0.29,,Allen Robinson,WR,CHI,267,15.5,3.27,248,290,55.1,71.5,50.3,46,41,52,11,NA,24.9,4.43,2.55,NA,39
15,,Robert Woods,WR,LAR,263,18.9,2.12,232,288,51.8,56.1,47.9,47,49,53,12,NA,34,4.78,3,NA,40
59,,Raheem Mostert,RB,SF,261,29.7,1.46,228,315,28.7,61.1,25.6,65,45,68,29,NA,87.3,17.6,3.65,NA,41
0.24,,CeeDee Lamb,WR,DAL,261,36.4,3.09,228,327,49.7,51.8,87.3,48,52,36,13,NA,30.6,6.81,5.36,NA,42
54,,Melvin Gordon,RB,DEN,260,60.1,2.34,204,345,27.3,37.1,55.9,66,66,47,30,NA,88.6,16.5,6,NA,43
87,,David Johnson,RB,HOU,258,71.8,4.99,195,389,24.9,27.4,100,68,74,33,31,NA,104,25.2,7.69,NA,44
21,,Terry McLaurin,WR,WAS,258,30.2,3,211,287,46.6,34.8,47.6,50,68,54,14,NA,27.9,3.71,4.3,NA,45
25,,Amari Cooper,WR,DAL,255,12.4,6.24,238,271,43.6,61.7,31.3,52,44,64,15,NA,36.3,5.43,2.26,Q,46
0.27,,George Kittle,TE,SF,254,32.9,57,220,307,101,91.5,133,32,38,19,3,3,26.3,7.06,3.85,NA,47
38,,Leonard Fournette,RB,TB,253,33.8,8.02,212,313,19.9,45,23.9,73,61,69,32,NA,104,16.3,3.86,NA,48
29,,Diontae Johnson,WR,PIT,249,21.5,0.505,227,287,37.4,50.9,47.3,53,53,55,16,NA,42.5,8.26,3.65,NA,49
12,,Mike Evans,WR,TB,248,23.9,0.694,216,273,36.9,39.9,33.3,55,63,62,17,NA,38.4,5.99,3.74,NA,50
24,,Cooper Kupp,WR,LAR,248,17.2,1.32,227,270,36.2,50.4,30,58,54,65,18,NA,40,5.22,2.84,NA,51
22,,Chris Godwin,WR,TB,246,25,2.12,216,276,34.8,39.8,36.4,60,64,60,19,NA,37.2,5.84,3.86,NA,52
17,,Javonte Williams,RB,DEN,245,74.6,2.43,121,354,11.9,-45.7,65.5,88,379,45,33,NA,75.5,18.5,7.35,NA,53
28,,Tyler Lockett,WR,SEA,244,14.3,2.43,224,258,32.7,48,18.3,61,56,77,20,NA,43.5,7.38,2.68,Q,54
61,,Ronald Jones,RB,TB,242,34.7,9.5,207,295,9.5,40,6.51,91,62,99,34,NA,97.8,17,3.99,NA,55
18,,Adam Thielen,WR,MIN,242,11.6,1.02,232,262,30.3,55.4,22.5,63,50,73,21,NA,50.8,9.91,2.58,NA,56
