Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
62,,Tyler Higbee,TE,LAR,162,14.7,5.92,142,184,9.31,13.9,9.49,92,89,91,10,6,105,24.1,3.9,NA,118
138,,Henry Ruggs,WR,LVR,161,30.1,0.193,129,205,-50.4,-47.2,-34.9,482,385,326,58,NA,158,29.2,6.68,NA,119
0,WR3,Breshad Perriman,WR,DET,161,19.5,0.987,133,184,-50.6,-42.8,-55.5,486,362,444,59,NA,197,31.6,5.61,Q,120
141,,Jakobi Meyers,WR,NE,160,42.4,3.24,104,206,-51.5,-72.1,-33.6,495,453,316,60,NA,177,43.6,9.57,NA,121
89,,Alexander Mattison,RB,MIN,157,32.6,5.66,115,215,-75.3,-51.9,-74,659,396,483,54,NA,158,19.9,4.07,NA,122
81,,Michael Pittman,WR,IND,157,47,1.57,86.6,216,-54.8,-89.6,-24.3,518,489,248,61,NA,123,24.9,8.38,NA,123
86,,Mike Gesicki,TE,MIA,156,8.38,1.95,146,168,3.38,18.4,-6.02,105,82,145,11,6,117,17.7,2.28,NA,124
0,WR4,Christian Kirk,WR,ARI,155,36.3,3.7,97.9,189,-56.3,-78.3,-51.1,532,463,427,62,NA,190,27,7.24,NA,125
0,TE1,Irv Smith Jr.,TE,MIN,154,12.7,1.43,139,173,1.43,11.4,-1.6,113,95,127,12,6,123,19.7,3.07,NA,126
108,,James White,RB,NE,152,20.6,0.456,125,182,-80.9,-42,-107,678,360,553,55,NA,142,24.1,3.46,NA,127
102,,Evan Engram,TE,NYG,152,11.6,2.29,136,168,0,8.06,-5.71,118,101,144,13,6,129,19.6,2.92,NA,128
0,RB5,Marlon Mack,RB,IND,151,62.5,2.76,78.6,250,-81.4,-88.6,-39.2,686,485,357,56,NA,198,40.3,8.19,NA,129
0,WR5,Jalen Reagor,WR,PHI,151,25.3,1.13,118,180,-60.1,-58.5,-60.2,553,413,451,63,NA,166,31.2,6.28,NA,130
96,,Dallas Goedert,TE,PHI,150,38.3,0.841,76.5,187,-2.29,-51.5,13.3,126,395,85,14,6,92,18.4,6.02,NA,131
0,WR6,Jamison Crowder,WR,NYJ,150,41.3,0.308,103,208,-61.2,-73.4,-31.6,561,456,293,64,NA,169,38.9,8.99,NA,132
0,WR7,Tyrell Williams,WR,DET,150,20.2,0.447,122,177,-61.5,-53.9,-62.9,563,399,458,65,NA,227,54,7.8,NA,133
52,,Sony Michel,RB,NE,149,53.7,0.41,78.5,233,-84.1,-88.7,-55.5,695,488,445,57,NA,212,41.2,7.56,NA,134
0,TE2,Jared Cook,TE,LAC,149,18.8,8.66,128,178,-3.13,0,3.5,129,121,106,15,7,172,33.2,5.6,NA,135
0,RB6,Tarik Cohen,RB,CHI,148,29.2,3.79,119,201,-84.5,-47.8,-88.4,698,387,509,58,NA,159,43.5,5.78,O,136
109,,Malcolm Brown,RB,MIA,144,37.3,1.72,85.3,192,-88.3,-81.9,-96.9,718,471,528,59,NA,212,52.2,7.17,NA,137
140,,Rashaad Penny,RB,SEA,143,22.3,2.07,111,179,-90,-56.2,-110,726,407,557,60,NA,178,33.2,4.36,Q,138
100,,Giovani Bernard,RB,TB,141,41.4,1.7,96.6,201,-92.1,-70.6,-87.9,731,450,508,61,NA,158,33.7,5.95,NA,139
0,TE3,Zach Ertz,TE,PHI,141,19.3,2.04,107,162,-11.8,-21.2,-12.5,165,225,175,16,7,181,37.5,6.24,NA,140
0.32,,Devin White,LB,TB,139,18.3,11.3,128,153,31.8,27.5,42.4,62,73,58,1,1,NA,NA,7.04,NA,999
0,RB7,Duke Johnson,RB,FA,139,NA,1.96,NA,NA,-93.8,NA,NA,742,NA,NA,62,NA,306,47.8,9.56,Q,141
112,,Austin Hooper,TE,CLE,138,16.4,1.18,117,157,-13.8,-10.7,-16.8,176,176,201,17,7,166,28.2,4.66,NA,142
