Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving 1D,Receiving YBC,Receiving YBC/R,Receiving YAC,Receiving YAC/R,Receiving ADOT,Receiving BrkTkl,Receiving Rec/Br,Receiving Drop,Receiving Drop%,Receiving Int,Receiving Rat,Awards,-additional -9999
100,Kayshon Boutte,22,NWE,WR,15,13,68,43,589,25,439,10.2,150,3.5,14.5,1,43.0,4,5.9,2,93.3,,BoutKa00
101,Chuba Hubbard,25,CAR,RB,15,15,54,43,171,10,-74,-1.7,245,5.7,-1.2,7,6.1,2,3.7,0,86.0,,HubbCh01
102,Tutu Atwell,25,LAR,WR,17,5,62,42,562,29,436,10.4,126,3.0,11.2,0,,3,4.8,2,82.9,,AtweTu00
103,Zach Charbonnet,23,SEA,RB,17,6,52,42,340,6,-37,-0.9,377,9.0,-0.9,0,,0,0.0,1,92.3,,CharZa00
104,Dallas Goedert,29,PHI,TE,10,10,52,42,496,20,239,5.7,257,6.1,6.8,2,21.0,1,1.9,1,111.2,,GoedDa00
105,Justice Hill,27,BAL,RB,15,0,51,42,383,17,-55,-1.3,438,10.4,-0.5,5,8.4,2,3.9,1,109.4,,HillJu00
106,Isaiah Likely,24,BAL,TE,16,9,58,42,477,26,221,5.3,256,6.1,8.0,3,14.0,2,3.4,0,131.2,,LikeIs00
107,D'Andre Swift,25,CHI,RB,17,17,52,42,386,12,-19,-0.5,405,9.6,0.0,2,21.0,3,5.8,1,89.6,,SwifDA00
108,T.J. Hockenson,27,MIN,TE,10,9,62,41,455,30,310,7.6,145,3.5,8.4,1,41.0,2,3.2,2,74.3,AP CPoY-19,HockTJ00
109,Tony Pollard,27,TEN,RB,16,16,57,41,238,9,17,0.4,221,5.4,0.1,2,20.5,8,14.0,1,72.1,,PollTo00
110,Devaughn Vele,27,DEN,WR,13,7,55,41,475,26,348,8.5,127,3.1,8.4,0,,3,5.5,0,118.4,,VeleDe00
111,Ameer Abdullah,31,LVR,RB,16,3,47,40,261,16,9,0.2,252,6.3,0.7,2,20.0,0,0.0,0,111.1,,AbduAm00
112,Jordan Akins,32,CLE,TE,17,6,58,40,390,20,213,5.3,177,4.4,6.0,1,40.0,1,1.7,1,91.9,,AkinJo00
113,Noah Gray,25,KAN,TE,17,10,49,40,437,25,227,5.7,210,5.3,6.2,0,,2,4.1,2,120.8,,GrayNo00
114,Brenton Strange,24,JAX,TE,17,10,53,40,411,21,228,5.7,183,4.6,6.4,3,13.3,3,5.7,0,109.9,,StraBr00
115,Tyler Boyd,30,TEN,WR,16,8,57,39,390,20,201,5.2,189,4.8,7.4,2,19.5,3,5.3,3,65.7,,BoydTy00
116,Rico Dowdle,26,DAL,RB,16,15,49,39,249,13,-23,-0.6,272,7.0,-0.1,3,13.0,2,4.1,0,108.2,,DowdRi01
117,Travis Etienne,25,JAX,RB,15,15,52,39,254,13,-42,-1.1,296,7.6,0.2,4,9.8,2,3.8,1,76.9,,EtieTr00
