Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving 1D,Receiving YBC,Receiving YBC/R,Receiving YAC,Receiving YAC/R,Receiving ADOT,Receiving BrkTkl,Receiving Rec/Br,Receiving Drop,Receiving Drop%,Receiving Int,Receiving Rat,Awards,-additional -9999
367,Malachi Corley,22,NYJ,WR,9,1,6,3,16,1,11,3.7,5,1.7,8.3,0,,0,0.0,0,56.2,,CorlMa00
368,DeeJay Dallas,26,ARI,RB,17,0,3,3,11,1,-9,-3.0,20,6.7,-3.0,0,,0,0.0,0,121.5,,DallDe00
369,Josiah Deguara,27,JAX,TE,15,0,3,3,14,0,2,0.7,12,4.0,0.7,0,,0,0.0,0,86.1,,DeguJo00
370,Gus Edwards,29,LAC,RB,11,6,5,3,6,0,-5,-1.7,11,3.7,-3.0,0,,0,0.0,0,64.6,,EdwaGu00
371,Clyde Edwards-Helaire,25,NOR,RB,2,0,5,3,24,1,-11,-3.7,35,11.7,-0.8,1,3.0,1,20.0,0,72.1,,EdwaCl00
372,D'Wayne Eskridge,27,MIA,WR,6,0,3,3,44,2,15,5.0,29,9.7,5.0,0,,0,0.0,0,118.7,,EskrDW00
373,Hassan Haskins,25,LAC,RB,17,0,3,3,49,2,7,2.3,42,14.0,2.3,0,,0,0.0,0,158.3,,HaskHa00
374,Dallin Holker,24,NOR,TE,12,2,4,3,21,1,8,2.7,13,4.3,9.0,0,,0,0.0,0,86.5,,HolkDa00
375,Travis Homer,26,CHI,RB,10,0,3,3,11,0,1,0.3,10,3.3,0.3,0,,0,0.0,0,81.9,,HomeTr00
376,Trenton Irwin,29,CIN,WR,7,2,10,3,15,1,11,3.7,4,1.3,6.2,0,,1,10.0,0,39.6,,IrwiTr00
377,Tim Jones,26,JAX,WR,17,0,5,3,41,3,24,8.0,17,5.7,8.0,0,,0,0.0,0,86.2,,JoneTi00
378,Chris Manhertz,32,NYG,TE,17,11,4,3,30,2,11,3.7,19,6.3,3.8,0,,0,0.0,0,135.4,,ManhCh00
379,Terrace Marshall Jr.,24,LVR,WR,7,1,6,3,41,1,37,12.3,4,1.3,8.7,0,,0,0.0,0,72.2,,MarsTe00
380,Kenny McIntosh,24,SEA,RB,17,0,4,3,22,1,5,1.7,17,5.7,1.3,0,,0,0.0,0,87.5,,McInKe00
381,James Proche,28,CLE,WR,9,0,3,3,21,1,17,5.7,4,1.3,5.7,1,3.0,0,0.0,0,95.8,,ProcJa00
382,Craig Reynolds,28,DET,RB,17,0,5,3,40,2,-2,-0.7,42,14.0,-2.0,0,,0,0.0,1,45.8,,ReynCr00
383,Patrick Ricard,30,BAL,FB,17,6,5,3,22,1,4,1.3,18,6.0,1.2,0,,1,20.0,0,110.0,PBAP-1,RicaPa00
384,Allen Robinson,31,DET,WR,12,0,7,3,30,3,26,8.7,4,1.3,7.3,0,,1,14.3,0,55.7,,RobiAl02
385,Patrick Taylor,26,SFO,RB,13,1,11,3,25,2,6,2.0,19,6.3,3.1,0,,2,18.2,0,39.6,,TaylPa01
386,Ian Thomas,28,CAR,TE,5,2,6,3,7,1,1,0.3,6,2.0,4.2,0,,1,16.7,1,16.7,,ThomIa00
387,Jamari Thrash,24,CLE,WR,9,0,7,3,22,2,8,2.7,14,4.7,7.3,0,,2,28.6,0,50.9,,ThraJa01
388,Sione Vaki,23,DET,RB,16,0,3,3,37,2,17,5.7,20,6.7,5.7,0,,0,0.0,0,118.1,,VakiSi00
389,Deuce Vaughn,23,DAL,RB,7,0,5,3,18,0,5,1.7,13,4.3,0.0,1,3.0,0,0.0,0,67.1,,VaugDe00
390,Jeff Wilson,29,MIA,RB,9,0,3,3,19,0,0,0.0,19,6.3,0.0,0,,0,0.0,0,93.1,,WilsJe01
391,Jaylen Wright,21,MIA,RB,15,1,6,3,8,1,0,0.0,8,2.7,-1.0,1,3.0,1,16.7,0,56.2,,WrigJa04
392,Jaheim Bell,23,NWE,TE,15,0,3,2,20,1,15,7.5,5,2.5,7.7,0,,0,0.0,0,85.4,,BellJa00
393,Ronnie Bell,24,SFO,WR,9,0,6,2,22,2,20,10.0,2,1.0,10.8,0,,2,33.3,1,5.6,,BellRo01
394,Julius Chestnut,24,TEN,RB,17,0,3,2,11,0,-3,-1.5,14,7.0,0.3,0,,0,0.0,1,33.3,,ChesJu00
395,Grant Dubose,23,MIA,WR,3,0,4,2,11,1,8,4.0,3,1.5,11.8,0,,0,0.0,1,16.7,,DuboGr00
396,Ashton Dulin,27,IND,WR,15,2,8,2,67,2,24,12.0,43,21.5,19.3,1,2.0,1,12.5,1,62.0,,DuliAs00
397,Isaiah Hodgins,26,NYG,WR,3,0,2,2,12,0,11,5.5,1,0.5,5.5,0,,0,0.0,0,91.7,,HodgIs00
398,Brevin Jordan,24,HOU,TE,2,1,3,2,7,1,4,2.0,3,1.5,0.3,0,,0,0.0,0,70.1,,JordBr00
399,Mason Kinsey,26,TEN,WR,6,0,2,2,17,1,17,8.5,0,0.0,8.5,0,,0,0.0,0,102.1,,KinsMa00
400,Dameon Pierce,24,HOU,RB,11,0,4,2,2,0,-3,-1.5,5,2.5,-1.3,1,2.0,0,0.0,0,56.2,,PierDa01
401,Nikko Remigio,25,KAN,WR,5,1,6,2,48,2,34,17.0,14,7.0,10.7,0,,1,16.7,0,63.2,,RemiNi00
402,Xavier Smith,27,LAR,WR,15,0,2,2,6,1,1,0.5,5,2.5,0.5,0,,0,0.0,0,79.2,,SmitXa00
403,Jack Stoll,26,PHI,TE,7,2,3,2,10,0,8,4.0,2,1.0,4.0,0,,0,0.0,0,71.5,,StolJa00
404,J.J. Taylor,26,HOU,RB,5,0,3,2,0,0,-1,-0.5,1,0.5,-2.0,0,,1,33.3,0,70.1,,TaylJJ01
405,Eric Tomlinson,32,LAC,TE,9,1,4,2,9,0,-3,-1.5,12,6.0,2.0,1,2.0,1,25.0,0,56.2,,TomlEr01
406,Austin Trammell,26,JAX,WR,1,0,3,2,40,2,31,15.5,9,4.5,14.7,0,,0,0.0,0,109.7,,TramAu00
407,Cody White,26,SEA,WR,4,0,3,2,44,2,31,15.5,13,6.5,13.3,0,,0,0.0,0,109.7,,WhitCo05
408,Kristian Wilkerson,27,LVR,WR,3,0,3,2,18,2,7,3.5,11,5.5,5.3,0,,0,0.0,0,122.2,,WilkKr00
409,Isaiah Williams,23,DET,WR,2,0,3,2,6,0,-1,-0.5,7,3.5,5.0,2,1.0,0,0.0,0,70.1,,WillIs03
410,Javon Baker,22,NWE,WR,11,1,4,1,12,1,12,12.0,0,0.0,12.5,0,,0,0.0,0,39.6,,BakeJa00
411,Chris Blair,27,ATL,WR,4,0,2,1,17,1,17,17.0,0,0.0,18.5,0,,0,0.0,1,39.6,,BlaiCh00
412,Mike Boone,29,CAR,RB,6,0,3,1,-2,0,-4,-4.0,2,2.0,-4.7,0,,1,33.3,0,42.4,,BoonMi00
413,Mike Caliendo,27,KAN,OL,17,3,1,1,5,1,2,2.0,3,3.0,2.0,0,,0,0.0,0,87.5,,CaliMi00
414,Robbie Chosen,31,MIA,WR,2,0,4,1,5,0,4,4.0,1,1.0,11.8,0,,0,0.0,1,0.0,,AndeRo04
415,Chris Collier,24,LVR,RB,3,0,2,1,-4,0,-5,-5.0,1,1.0,-2.5,0,,0,0.0,0,56.2,,CollCh01
416,Dalvin Cook,29,DAL,RB,2,0,1,1,10,1,3,3.0,7,7.0,3.0,0,,0,0.0,0,108.3,,CookDa01
417,Jaelon Darden,25,CLE,WR,7,1,1,1,6,1,-3,-3.0,9,9.0,-3.0,0,,0,0.0,0,91.7,,DardJa00
418,Zach Davidson,26,BUF,TE,2,0,2,1,5,0,3,3.0,2,2.0,1.5,0,,0,0.0,0,56.2,,DaviZa00
419,Divine Deablo,26,LVR,LLB,14,14,1,1,34,1,4,4.0,30,30.0,4.0,0,,0,0.0,0,118.7,,DeabDi00
420,Ross Dwelley,29,ATL,TE,17,0,1,1,5,0,1,1.0,4,4.0,1.0,0,,0,0.0,0,87.5,,DwelRo00
421,John FitzPatrick,24,GNB,TE,9,0,1,1,2,0,2,2.0,0,0.0,2.0,0,,0,0.0,0,79.2,,FitzJo00
422,Jody Fortson,29,KAN,TE,3,0,3,1,5,1,3,3.0,2,2.0,1.3,0,,0,0.0,1,2.8,,FortJo01
423,Feleipe Franks,27,CAR,TE,16,0,3,1,12,1,12,12.0,0,0.0,16.3,0,,0,0.0,0,46.5,,FranFe00
424,Myles Gaskin,27,MIN,RB,5,0,1,1,11,0,-2,-2.0,13,13.0,-2.0,0,,0,0.0,0,112.5,,GaskMy00
425,Jared Goff,30,DET,QB,17,17,1,1,7,1,5,5.0,2,2.0,5.0,0,,0,0.0,0,135.4,PBAP MVP-5AP OPoY-9,GoffJa00
426,Anthony Gould,23,IND,WR,8,0,1,1,23,1,18,18.0,5,5.0,18.0,0,,0,0.0,0,118.7,,GoulAn00
427,George Holani,25,SEA,RB,5,0,1,1,-1,0,-1,-1.0,0,0.0,-1.0,0,,0,0.0,0,79.2,,HolaGe00
428,Sam Hubbard,29,CIN,LDE,14,14,1,1,2,1,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,,HubbSa00
429,Jha'Quan Jackson,24,TEN,WR,12,0,3,1,8,1,6,6.0,2,2.0,26.0,0,,0,0.0,0,42.4,,JackJh00
430,Jermar Jefferson,24,DET,RB,2,0,1,1,10,1,0,0.0,10,10.0,0.0,0,,0,0.0,0,108.3,,JeffJe00
431,E.J. Jenkins,26,PHI,TE,8,0,2,1,7,1,4,4.0,3,3.0,4.5,0,,0,0.0,0,97.9,,JenkEJ00
432,Brandon Johnson,26,PIT,WR,3,0,1,1,9,0,5,5.0,4,4.0,5.0,0,,0,0.0,0,104.2,,JohnBr23
433,Collin Johnson,27,CHI,WR,9,0,2,1,6,1,3,3.0,3,3.0,8.0,0,,0,0.0,0,56.2,,JohnCo01
434,Charlie Jones,26,CIN,WR,8,0,1,1,5,0,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5,,JoneCh11
435,Marcus Jones,26,NWE,CB,14,9,1,1,18,1,-7,-7.0,25,25.0,-7.0,0,,0,0.0,0,118.7,,JoneMa06
436,Velus Jones Jr.,27,CHI,WR,1,0,1,1,8,0,-5,-5.0,13,13.0,-5.0,0,,0,0.0,0,100.0,,JoneVe00
437,Ramel Keyton,24,LVR,WR,8,0,3,1,7,1,7,7.0,0,0.0,10.0,0,,0,0.0,0,42.4,,KeytRa00
438,Jacob Kibodi,26,CLE,RB,1,0,3,1,15,1,4,4.0,11,11.0,3.0,0,,1,33.3,1,11.1,,KiboJa00
439,JC Latham,21,TEN,LT,17,17,1,1,0,0,-4,-4.0,4,4.0,-4.0,0,,0,0.0,0,79.2,,LathJC00
440,Marcedes Lewis,40,CHI,TE,17,4,2,1,2,1,1,1.0,1,1.0,7.0,0,,0,0.0,0,56.2,,LewiMa00
441,MarShawn Lloyd,23,GNB,RB,1,0,1,1,3,0,-5,-5.0,8,8.0,-5.0,0,,0,0.0,0,79.2,,LloyMa00
442,Vederian Lowe,25,NWE,LT,14,13,1,1,4,1,4,4.0,0,0.0,4.0,0,,0,0.0,0,122.9,,LoweVe00
443,Patrick Mahomes,29,KAN,QB,16,16,1,1,2,0,-1,-1.0,3,3.0,-1.0,0,,0,0.0,0,79.2,AP MVP-6AP OPoY-17,MahoPa00
444,Tay Martin,27,TEN,WR,1,0,2,1,49,1,44,44.0,5,5.0,31.5,0,,0,0.0,0,135.4,,MartTa00
445,David Martin-Robinson,25,TEN,TE,5,2,2,1,6,1,0,0.0,6,6.0,0.0,0,,0,0.0,0,56.2,,MartDa01
446,Anthony Miller,30,BAL,WR,2,0,1,1,16,1,15,15.0,1,1.0,15.0,0,,0,0.0,0,118.7,,MillAn02
447,Keaton Mitchell,22,BAL,RB,5,0,1,1,28,1,-5,-5.0,33,33.0,-5.0,0,,0,0.0,0,118.7,,MitcKe01
448,Wanya Morris,24,KAN,LT,17,11,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7,,MorrWa01
449,Bo Nix,24,DEN,QB,17,17,1,1,2,1,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,AP ORoY-3,NixxBo00
450,Kendric Pryor,26,CIN,WR,1,0,1,1,9,0,9,9.0,0,0.0,9.0,0,,0,0.0,0,104.2,,PryoKe00
451,Anthony Richardson,22,IND,QB,11,11,1,1,-1,0,-8,-8.0,7,7.0,-8.0,0,,0,0.0,0,79.2,AP CPoY-25,RichAn03
452,Chris Rodriguez,24,WAS,RB,9,0,1,1,12,1,1,1.0,11,11.0,1.0,0,,0,0.0,0,116.7,,RodrCh00
453,John Ross,29,PHI,WR,1,0,2,1,6,1,4,4.0,2,2.0,23.5,0,,0,0.0,0,56.2,,RossJo00
454,Cody Schrader,25,LAR,RB,1,0,1,1,6,0,0,0.0,6,6.0,0.0,0,,0,0.0,0,91.7,,SchrCo00
455,Trenton Scott,30,WAS,T,17,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7,,ScotTr01
456,Tyler Scott,23,CHI,WR,11,0,1,1,5,0,-2,-2.0,7,7.0,-2.0,0,,0,0.0,0,87.5,,ScotTy00
457,Tyrell Shavers,25,BUF,WR,3,0,1,1,69,1,-2,-2.0,71,71.0,-2.0,1,1.0,0,0.0,0,158.3,,ShavTy00
458,John Samuel Shenker,26,LVR,TE,8,0,1,1,7,0,4,4.0,3,3.0,4.0,0,,0,0.0,0,95.8,,ShenJo00
459,Dan Skipper,30,DET,T,17,5,1,1,9,1,1,1.0,8,8.0,1.0,0,,0,0.0,0,143.7,,SkipDa00
460,Tyler Smith,23,DAL,LG,16,16,1,1,0,0,-6,-6.0,6,6.0,-6.0,0,,0,0.0,0,79.2,PB,SmitTy02
461,Geoff Swaim,31,CLE,TE,8,2,1,1,7,0,2,2.0,5,5.0,2.0,0,,0,0.0,0,95.8,,SwaiGe00
462,Trent Taylor,30,SFO,WR,2,0,1,1,11,0,9,9.0,2,2.0,9.0,0,,0,0.0,0,112.5,,TaylTr02
463,Juanyeh Thomas,24,DAL,S,13,0,1,1,4,0,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3,,ThomJu03
464,Brycen Tremayne,25,WAS,WR,2,0,1,1,-2,0,-2,-2.0,0,0.0,-2.0,0,,0,0.0,0,79.2,,TremBr00
465,Ben VanSumeren,24,PHI,LB,11,1,1,1,0,0,0,0.0,0,0.0,0.0,0,,0,0.0,0,79.2,,VanSBe00
466,Devontez Walker,23,BAL,WR,9,0,3,1,21,1,21,21.0,0,0.0,28.0,0,,0,0.0,0,98.6,,WalkDe01
467,Casey Washington,23,ATL,WR,8,0,2,1,14,1,3,3.0,11,11.0,18.0,0,,0,0.0,0,72.9,,WashCa01
468,Blake Watson,25,DEN,RB,2,0,2,1,13,0,-5,-5.0,18,18.0,-2.0,0,,1,50.0,0,70.8,,WatsBl00
469,Jared Wiley,24,KAN,TE,7,2,1,1,7,0,4,4.0,3,3.0,4.0,0,,0,0.0,0,95.8,,WileJa00
470,Shane Zylstra,28,DET,TE,12,1,1,1,22,1,9,9.0,13,13.0,9.0,0,,0,0.0,0,118.7,,ZylsSh00
471,Rasheen Ali,23,BAL,RB,6,0,2,0,0,0,0,,0,,-2.5,0,,1,50.0,0,39.6,,AlixRa00
472,Josh Allen,28,BUF,QB,17,17,0,0,7,0,0,,7,,,0,,0,,0,,PBAP-2AP MVP-1AP OPoY-6,AlleJo02
473,Brenden Bates,25,CLE,TE,2,0,1,0,0,0,0,,0,,-2.0,0,,0,0.0,0,39.6,,BateBr00
475,Braxton Berrios,29,MIA,WR,6,0,4,0,0,0,0,,0,,6.5,0,,0,0.0,0,39.6,,BerrBr00
476,Jake Brendel,32,SFO,C,17,17,0,0,2,0,0,,2,,,0,,0,,0,,,BrenJa01
477,Irvin Charles,27,NYJ,WR,13,0,1,0,0,0,0,,0,,3.0,0,,0,0.0,0,39.6,,CharIr00
478,Baylor Cupp,24,KAN,TE,1,0,1,0,0,0,0,,0,,0.0,0,,1,100.0,0,39.6,,CuppBa00
479,Taylor Decker,31,DET,LT,14,14,1,0,0,0,0,,0,,2.0,0,,0,0.0,0,39.6,PB,DeckTa00
480,Erik Ezukanma,24,MIA,WR,2,0,2,0,0,0,0,,0,,29.5,0,,0,0.0,0,39.6,,EzukEr00
481,Sam Franklin,28,CAR,S,10,0,1,0,0,0,0,,0,,11.0,0,,0,0.0,0,39.6,,FranSa00
482,Zach Frazier,23,PIT,C,15,15,0,0,-2,0,0,,-2,,,0,,0,,0,,,FrazZa00
483,C.J. Goodwin,34,DAL,CB,17,0,1,0,0,0,0,,0,,7.0,0,,0,0.0,0,39.6,,GoodC.00
484,Terrell Jennings,23,NWE,RB,3,0,1,0,0,0,0,,0,,29.0,0,,0,0.0,0,39.6,,JennTe00
485,Kameron Johnson,22,TAM,WR,5,0,1,0,0,0,0,,0,,3.0,0,,1,100.0,0,39.6,,JohnKa01
486,Tom Kennedy,28,DET,WR,4,0,1,0,0,0,0,,0,,11.0,0,,0,0.0,0,39.6,,KennTo01
487,Trevor Lawrence,25,JAX,QB,10,10,0,0,-5,0,0,,-5,,,0,,0,,0,,,LawrTr00
488,Jordan Matthews,32,CAR,TE,4,1,1,0,0,0,0,,0,,16.0,0,,0,0.0,0,39.6,,MattJo00
489,Skyy Moore,24,KAN,WR,6,0,3,0,0,0,0,,0,,6.0,0,,2,66.7,0,39.6,,MoorSk01
490,James Pierre,28,PIT,CB,15,2,1,0,0,0,0,,0,,14.0,0,,1,100.0,0,39.6,,PierJa01
491,Adam Prentice,27,NOR,FB,17,7,4,0,0,0,0,,0,,1.0,0,,1,25.0,0,39.6,,PrenAd00
492,Dominick Puni,24,SFO,RG,17,17,0,0,-3,0,0,,-3,,,0,,0,,0,,,PuniDo00
493,Justyn Ross,25,KAN,WR,2,0,1,0,0,0,0,,0,,10.0,0,,0,0.0,0,39.6,,RossJu00
494,C.J. Stroud,23,HOU,QB,17,17,1,0,0,0,0,,0,,10.0,0,,0,0.0,0,39.6,,StroCJ00
495,Stephen Sullivan,28,CAR,TE,1,0,1,0,0,0,0,,0,,16.0,0,,0,0.0,0,39.6,,SullSt00
496,Kadarius Toney,25,CLE,WR,3,0,1,0,0,0,0,,0,,-5.0,0,,0,0.0,0,39.6,,ToneKa00
497,Xavier Weaver,24,ARI,WR,2,0,2,0,0,0,0,,0,,19.5,0,,0,0.0,0,39.6,,WeavXa00
498,Brayden Willis,25,SFO,TE,10,0,2,0,0,0,0,,0,,5.5,0,,1,50.0,0,39.6,,WillBr06
499,Tristan Wirfs,25,TAM,LT,16,16,0,0,9,0,0,,9,,,0,,0,,0,,PBAP-1,WirfTr00
500,Dareke Young,25,SEA,WR,14,0,1,0,0,0,0,,0,,9.0,0,,0,0.0,0,39.6,,YounDa02
,League Average,,,,,,,,,,,5.6,,5.3,7.7,,16.8,,4.7,,,,-9999
