"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Jordan Love","QB","GB",11,384,7.78,0.625,371,419,-49.9,-36.9,-48.7,473,416,387,19,"6",27,128,4.58,36,6
"Trevin Wallace","LB","CAR",5,79.7,8.52,3.16,59.3,124,-50.2,-42.8,-63.2,474,477,447,54,"4",23,NA,NA,42,2
"Malik Willis","QB","MIA",6,383,24,0.35,353,422,-50.5,-54.6,-46.2,479,633,377,20,"7",27,141,4.68,82,4
"C.J. Stroud","QB","HOU",8,383,49.4,6.2,341,420,-50.9,-67.2,-47.4,483,800,383,21,"7",24,136,4.19,70,3
"Chris Rodriguez","RB","JAC",7,182,29.2,2.85,148,222,-50.9,-46.9,-30.7,482,523,318,49,"18",26,152,3.11,76,3
"Omar Speights","LB","LAR",11,76.5,15.4,1.29,58.3,109,-53.3,-43.8,-78.5,512,492,592,55,"4",25,NA,NA,47,2
"Isiah Pacheco","RB","DET",6,179,19.7,11.3,160,201,-53.7,-34.8,-51.6,519,397,394,50,"18",27,131,3.48,54,4
"Ventrell Miller","LB","JAC",7,75.3,8.67,1.21,57.4,113,-54.6,-44.7,-74.5,526,501,558,56,"4",27,NA,6.79,48,3
"Frankie Luvu","LB","WAS",7,74,4.45,0.0469,55.3,118,-55.8,-46.8,-69.2,535,522,490,57,"4",29,NA,4.01,26,8
"Teddye Buchanan","LB","BAL",13,74,49.7,1.4,42.1,109,-55.9,-60,-78.9,538,707,595,58,"4",23,NA,NA,94,1
"Sam Darnold","QB","SEA",11,377,27.6,11,350,408,-57.1,-57.5,-60.1,549,672,429,22,"8",29,137,6.01,21,8
"Payton Wilson","LB","PIT",9,72.6,28.8,6.15,55.1,90.1,-57.3,-47,-97.6,551,524,758,59,"5",26,NA,NA,64,2
"Christian Rozeboom","LB","TB",10,66.4,44.8,0.1,39.3,93.6,-63.4,-62.8,-94,614,745,744,60,"5",29,NA,11.4,97,6
"Winston Reid","LB","CLE",11,66.4,NA,0.803,66.4,66.4,-63.5,-35.7,-121,617,405,913,61,"5",27,NA,3.77,95,4
"Denzel Perryman","LB","LAC",7,65.5,0,1.85,52.5,99.5,-64.3,-49.6,-88.2,627,551,692,62,"5",33,NA,3.82,38,NA
"Brian Robinson","RB","ATL",11,168,14.4,8.53,150,181,-65.1,-44.2,-70.9,637,497,509,51,"19",27,154,6.49,37,4
"Justin Strnad","LB","DEN",10,63.7,13.9,6.28,45.3,98,-66.2,-56.8,-89.6,651,662,704,63,"5",29,NA,5.23,30,6
"Daniel Jones","QB","IND",13,366,17.2,7.2,189,397,-68.1,-218,-70.4,671,1220,501,23,"8",29,143,8.06,42,7
"Leo Chenal","LB","WAS",7,57.4,25.3,1.43,42,72.8,-72.4,-60.1,-115,721,709,889,64,"5",25,NA,3.58,62,4
"Tyler Allgeier","RB","ARI",14,159,14.3,3.95,141,177,-73.6,-53.9,-75,728,625,562,52,"19",26,156,3.35,38,4
"Bryce Young","QB","CAR",5,359,23.2,24.1,336,414,-75.3,-71.9,-53.6,750,842,399,24,"9",25,154,4.9,18,3
"Samaje Perine","RB","CIN",6,155,11.2,4.07,134,179,-77.6,-60.6,-73.7,766,718,549,53,"19",30,218,0.973,89,9
"Keaton Mitchell","RB","LAC",7,151,7.26,1.7,129,174,-81.6,-65.9,-78.1,799,787,586,54,"20",24,157,2.2,83,3
"Dylan Sampson","RB","CLE",11,149,18.3,2.2,129,190,-83.3,-65.9,-62.2,810,788,441,55,"20",21,173,1.31,49,1
"Ty Johnson","RB","BUF",7,147,11.9,3.68,137,157,-85.5,-57.6,-94.8,825,673,748,56,"20",28,207,1.09,70,7
"Justice Hill","RB","BAL",13,143,21.9,9.82,121,167,-89.2,-73.3,-85.2,853,853,667,57,"21",28,198,1.68,87,7
"Tank Bigsby","RB","PHI",10,134,17.3,1.7,119,149,-99,-75.3,-103,927,870,797,58,"21",23,168,2.17,62,3
"Jacoby Brissett","QB","ARI",14,334,58.1,0.1,282,408,-99.4,-126,-59.6,931,1110,427,25,"9",33,158,4.67,85,10
"Cam Ward","QB","TEN",9,334,33.9,8.42,303,375,-99.5,-104,-92.9,932,1050,736,26,"9",24,150,4.17,45,1
"Kimani Vidal","RB","LAC",7,132,38.7,1.05,84.2,181,-101,-110,-71.2,944,1070,515,59,"21",24,191,2.88,90,2
"Devin Singletary","RB","NYG",8,131,76.2,2.4,74.6,186,-102,-120,-65.9,949,1100,461,60,"21",28,215,1.44,98,7
"Sean Tucker","RB","TB",10,128,46.3,1,91.9,160,-104,-103,-92.4,962,1050,732,61,"21",24,197,2.28,95,3
"Kareem Hunt","RB","FA",NA,128,NA,1.75,128,128,-105,-67.1,-125,970,797,936,62,"21",31,NA,NA,97,9
"Braelon Allen","RB","NYJ",13,126,11.6,1.85,105,153,-107,-90.1,-99.2,980,974,769,63,"21",22,181,1.21,63,2
"Geno Smith","QB","NYJ",13,326,16.3,4.43,299,356,-108,-108,-111,990,1060,862,27,"10",35,161,8.19,15,13
"Nick Chubb","RB","FA",NA,124,NA,7.7,124,124,-109,-70.7,-128,1000,834,955,64,"22",30,148,NA,99,8
"Aaron Rodgers","QB","PIT",9,322,20.5,56.1,293,400,-112,-115,-67.4,1020,1080,471,28,"11",42,153,3.84,52,21
"Fernando Mendoza","QB","LVR",13,265,9.71,86.9,220,307,-168,-188,-160,1160,1210,1080,29,"12",22,142,23.5,39,0
"Michael Penix Jr.","QB","ATL",11,179,99.6,0.25,69.5,293,-255,-338,-175,1220,1220,1120,30,"12",26,156,3.01,97,2
"Tua Tagovailoa","QB","ATL",11,178,18,1.88,151,287,-256,-257,-180,1220,1220,1140,31,"12",28,158,3.89,33,6
"Deshaun Watson","QB","CLE",11,176,118,5.9,82.6,284,-258,-325,-184,1220,1220,1160,32,"13",30,190,2.94,99,9
