"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Nick Bolton","LB","KC",5,136,4.26,0.378,109,202,5.96,6.57,14.6,128,127,116,4,"1",26,NA,NA,8,5
"Aidan Hutchinson","DL","DET",6,84.4,3.89,0.716,78,97.2,5.83,9.5,-1.84,129,120,162,5,"1",25,NA,36.2,3,4
"Aidan Hutchinson","DL","DET",6,84.4,3.89,0.716,78,97.2,5.83,9.5,-1.84,129,120,162,5,"1",25,NA,36.2,3,4
"Ernest Jones","LB","SEA",11,135,12.7,1.42,110,189,5.58,7.81,1.87,130,124,146,5,"1",26,NA,12.4,14,5
"Bo Nix","QB","DEN",10,439,41.7,5.38,405,476,5.53,-3.1,8.64,131,169,135,8,"3",26,90.6,6.64,73,2
"Malik Washington","WR","MIA",6,180,14.1,0.36,155,208,5.2,0,11.3,132,154,127,46,"9",25,179,2.8,79,2
"Chase Young","DL","NO",8,83.7,19.6,2.17,71.6,95.9,5.11,3.11,-3.11,133,139,166,6,"1",27,NA,12.3,67,6
"Josh Downs","WR","IND",13,180,13.8,0.69,168,192,4.84,13.6,-5.48,134,110,178,47,"9",24,121,5.16,47,3
"Roquan Smith","LB","BAL",13,134,5.19,2.16,113,185,4.16,10.5,-2.97,135,117,165,6,"1",29,NA,NA,5,8
"Jayden Reed","WR","GB",11,179,20.3,0.8,133,209,4.15,-21.4,12.2,136,279,124,48,"9",26,135,4.32,58,3
"David Njoku","TE","LAC",7,118,60.2,1.58,77.1,160,3.78,-15.7,25.2,137,233,102,28,"9",30,158,1.83,99,9
"Stefon Diggs","WR","WAS",7,179,9.79,3.35,170,186,3.35,14.9,-11.3,138,108,208,49,"9",32,147,4.46,82,11
"Antoine Winfield","DB","TB",10,113,37.2,0.209,88.9,140,3.14,-5.87,-4.42,139,180,173,5,"1",27,NA,8.38,71,6
"Blake Corum","RB","LAR",11,236,6.6,2.38,227,268,3.12,32.1,15.6,140,90,114,38,"14",25,113,5.7,6,2
"Jeffery Simmons","DL","TEN",9,81.5,11.5,0.188,63.3,118,2.94,-5.24,18.7,141,177,111,7,"1",29,NA,NA,53,7
"Tykee Smith","DB","TB",10,113,22.9,0.297,87.3,157,2.93,-7.47,12.8,142,185,123,6,"1",25,NA,14.1,45,2
"Byron Young","DL","LAR",11,81.3,29.2,2.75,63.6,99,2.75,-4.92,0,143,175,154,8,"2",28,NA,NA,97,3
"DeShon Elliott","DB","PIT",9,113,28.3,0.987,89.7,145,2.63,-5.14,0.507,144,176,150,7,"1",29,NA,9.89,64,8
"Gunnar Helm","TE","TEN",9,117,12.8,2.2,102,135,2.2,8.83,0,145,122,154,29,"9",23,194,2.83,74,1
