player_id,name_x,fleaflicker_id,cfbref_id,draft_pick,mfl_id,pfr_id,yahoo_id,fantasy_data_id,db_season,sportradar_id,rotoworld_id,twitter_username,rotowire_id,team_x,fantasypros_id,age,name_y,merge_name,draft_year_x,gsis_id,stats_global_id,pff_id,position_x,draft_ovr,height,sleeper_id,birthdate_x,ktc_id,stats_id,espn_id,draft_round,college,weight,nfl_id,swish_id,cbs_id,Row,player,team_y,position_y,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_att,rush_att_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,return_yds,return_yds_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,birthdate_y,draft_year_y,injury_status,injury_details,season_year,week,Unnamed: 0,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,pick_number,owner
16737,Mike Evans,,mike-evans-4,7.0,11671.0,EvanMi00,27535.0,16597.0,2025.0,c48c21d9-0ae5-478c-ad34-30a660cfa9b8,9296.0,MikeEvans13_,9253.0,TBB,12119.0,32.0,Mike Evans,mike evans,2014.0,00-0031408,593587.0,8642.0,WR,7.0,77.0,2216.0,1993-08-21,275.0,27535.0,16737.0,1.0,Texas A&M,231.0,mikeevans/2543468,593587.0,1824909.0,247.0,Mike Evans,TB,WR,11671.0,robust,,,,,,,0.0,0.0,0.5,0.7413,0.0,0.0,0.375,0.0926625,0.0,,0.0,,78.3,2.9652,1073.85,49.9636200000001,10.0,1.40847,0.0,0.0,,,,,,,,,,,1993-08-21,2014.0,,,,,55.0,WR,TB,244.0,10.9,0.365,231.0,266.0,68.2,80.6,56.1,55.0,45.0,57.0,18.0,6.0,39.4,26.1,9.0,0,
3916144,Arthur Maulet,,,,13547.0,,30415.0,19375.0,2025.0,bf21bd83-9c97-4faf-97be-859f033848e2,12468.0,,12026.0,HOU,16717.0,32.1,Art Maulet,arthur maulet,2017.0,00-0033503,880396.0,12224.0,CB,,69.0,4503.0,1993-07-13,,30415.0,3916144.0,,Memphis,190.0,,880396.0,2819458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
3916126,Duke Shelley,,duke-shelley-1,32.0,14278.0,ShelDu00,32037.0,21122.0,2025.0,a7450b47-b784-490b-8edd-b5502f16366f,14273.0,,13986.0,IND,18710.0,28.9,Duke Shelley,duke shelley,2019.0,00-0035696,879946.0,49569.0,CB,205.0,69.0,6289.0,1996-10-08,,32037.0,3916126.0,6.0,Kansas State,176.0,,879946.0,3116651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16757,Derek Carr,,derek-carr-1,4.0,11644.0,CarrDe02,27564.0,16311.0,2025.0,9f026fc0-4449-4dc5-a226-2e2830619381,9349.0,derekcarrqb,9317.0,FA,12092.0,34.4,Derek Carr,derek carr,2014.0,00-0031280,496083.0,8671.0,QB,36.0,75.0,2028.0,1991-03-28,,27564.0,16757.0,2.0,Fresno State,215.0,derekcarr/2543499,496083.0,1664819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16760,Jimmy Garoppolo,,,30.0,11760.0,GaroJi00,27590.0,16041.0,2025.0,42de9d1d-0352-460b-9172-9452414fd7fd,9360.0,JimmyG_10,9320.0,LAR,12208.0,33.8,Jimmy Garoppolo,jimmy garoppolo,2014.0,00-0031345,555358.0,8697.0,QB,62.0,74.0,1837.0,1991-11-02,395.0,27590.0,16760.0,2.0,Eastern Illinois,225.0,jimmygaroppolo/2543801,555358.0,1760229.0,52.0,Jimmy Garoppolo,LAR,QB,11760.0,robust,206.0,150.92868,1.5,1.03782,0.5,0.7413,1.6,2.07564,6.0,8.74734,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,1991-11-02,2014.0,,,,,,,,,,,,,,,,,,,,,,,,0,
16763,Jordan Matthews,,jordan-matthews-1,10.0,11676.0,MattJo00,27570.0,15974.0,2025.0,7b96a836-666b-47b6-a0a7-9dbb0b4c53e8,9420.0,jmattjmattjmatt,9273.0,FA,12124.0,33.1,Jordan Matthews,jordan matthews,2014.0,00-0031299,555648.0,8677.0,TE,42.0,75.0,1800.0,1992-07-16,,27570.0,16763.0,2.0,Vanderbilt,236.0,jordanmatthews/2543500,555648.0,1759816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16772,Kyle Van Noy,,kyle-van-noy-1,8.0,11723.0,VanNKy00,27568.0,16467.0,2025.0,0ad845ff-44e8-4576-bc91-61b557e06f05,9568.0,KVN_03,9262.0,BAL,12171.0,34.4,Kyle Van Noy,kyle van noy,2014.0,00-0031360,541446.0,8675.0,DE,40.0,75.0,2130.0,1991-03-26,,27568.0,16772.0,2.0,BYU,255.0,kylevannoy/2543699,541446.0,1752529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
5144894,Trevor Nowaske,,,,16532.0,NowaTr00,40591.0,,2025.0,bb52aa90-ec71-11ed-a9ce-551f11053e13,,,17570.0,DET,25793.0,26.8,Trevor Nowaske,trevor nowaske,2023.0,00-0038660,0.0,,LB,,75.0,11348.0,1998-11-07,,40591.0,5144894.0,,Saginaw Valley State,237.0,,1447760.0,29118581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
4243916,Patrick Johnson,,patrick-johnson-4,6.0,15481.0,JohnPa02,33622.0,,2025.0,1693934a-76eb-4cf9-a5cf-e0bb6df92ace,,,15639.0,PHI,22775.0,27.6,Patrick Johnson,patrick johnson,2021.0,00-0036922,0.0,56460.0,DE,234.0,74.0,7770.0,1998-01-10,,33622.0,4243916.0,7.0,Tulane,248.0,,1057786.0,2866526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
16782,Jerick McKinnon,,,32.0,11761.0,McKiJe00,27624.0,16510.0,2025.0,f77479d7-51a5-41f9-8924-69526dd078cd,9651.0,JetMckinnon1,9529.0,FA,12209.0,33.3,Jerick McKinnon,jerick mckinnon,2014.0,00-0031376,563824.0,8731.0,RB,96.0,69.0,2161.0,1992-05-03,,27624.0,16782.0,3.0,Georgia Southern,209.0,jerickmckinnon/2543715,563824.0,2129436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
