player_id,name_x,stats_global_id,age,yahoo_id,espn_id,swish_id,draft_pick,nfl_id,stats_id,fleaflicker_id,draft_round,position_x,weight,mfl_id,college,rotoworld_id,pfr_id,fantasy_data_id,name_y,rotowire_id,pff_id,birthdate_x,draft_year_x,db_season,height,sleeper_id,team_x,twitter_username,gsis_id,draft_ovr,cfbref_id,sportradar_id,fantasypros_id,ktc_id,merge_name,cbs_id,Row,player,team_y,position_y,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_att,rush_att_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,return_yds,return_yds_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,birthdate_y,draft_year_y,injury_status,injury_details,season_year,week,Unnamed: 0,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,pick_number,owner,PPG,depth
4427356,Kamal Hadden,0.0,25.6,,4427356.0,1166495.0,35.0,57331.0,41053.0,,6.0,CB,192.0,16776.0,Tennessee,,HaddKa00,25190.0,Kamal Hadden,17832.0,146931.0,2001-01-17,2024.0,2026.0,73.0,11787.0,GBP,,00-0039831,211.0,kamal-hadden-1,ae33b86e-d67d-4b38-87e8-f7c666b4a88b,26171.0,,kamal hadden,3123974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4820584,Robert Spears-Jennings,0.0,22.5,,4820584.0,,8.0,62846.0,42846.0,,7.0,S,205.0,17680.0,Oklahoma,,SpeaRo01,,Robert Spears-Jennings,19595.0,,2004-01-25,2026.0,2026.0,73.0,,PIT,,00-0041401,224.0,robert-spears-jennings-1,,,,robert spears-jennings,28877887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361823,Ryan Wright,0.0,26.2,,4361823.0,1120728.0,,55088.0,34240.0,,,PN,245.0,16010.0,Tulane,,WrigRy00,23671.0,Ryan Wright,16306.0,77591.0,2000-06-01,2022.0,2026.0,75.0,8528.0,NOS,,00-0037500,,,4800e2e0-c95a-11ec-b1d2-d334745b4f4f,,,ryan wright,2965130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361824,Tanner McCalister,0.0,25.1,,4361824.0,1125661.0,,56407.0,40599.0,,,S,191.0,16563.0,Ohio State,,McCaTa00,24751.0,Tanner McCalister,17348.0,76591.0,2000-01-27,2023.0,2026.0,71.0,11353.0,DEN,,00-0038717,,,b5fdb5c0-ec77-11ed-8372-71b34770f6bc,,,tanner mccalister,2967564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4820574,Chris McClellan,0.0,22.8,,4820574.0,,13.0,62699.0,42699.0,,3.0,DT,313.0,17600.0,Missouri,,McClCh01,26985.0,Chris McClellan,19523.0,,2003-10-17,2026.0,2026.0,75.0,13468.0,GBP,,00-0040869,77.0,chris-mcclellan-1,2ba15713-32e1-44c5-b64b-54022e80e1f4,,,chris mcclellan,28873999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361834,Jarrick Bernard-Converse,0.0,26.3,40236.0,4361834.0,1106040.0,27.0,56069.0,40236.0,,6.0,CB,205.0,16338.0,LSU,,BernJa01,24485.0,Jarrick Bernard-Converse,16854.0,77841.0,2000-04-29,2023.0,2026.0,73.0,11001.0,NYG,,00-0038401,204.0,jarrick-bernard-converse-1,c506285e-abfb-4503-b981-20aaa0bf49a0,23993.0,,jarrick bernard-converse,2963853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361835,Jason Taylor II,0.0,26.1,40287.0,4361835.0,1125672.0,17.0,56099.0,40287.0,,7.0,S,204.0,16358.0,Oklahoma State,,TaylJa05,,Jason Taylor,17366.0,77842.0,1999-12-30,2023.0,2026.0,72.0,11040.0,FA,,00-0039060,234.0,jason-taylor-ii-1,ff40b8e3-27e8-46f9-b6c2-43de3596cd21,25583.0,,jason taylor,2965985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4869748,Zavion Thomas,0.0,22.5,,4869748.0,,25.0,62711.0,42711.0,,3.0,WR,190.0,17521.0,LSU,,ThomZa05,26948.0,Zavion Thomas,19259.0,,2004-02-14,2026.0,2026.0,70.0,13411.0,CHI,,00-0041051,89.0,zavion-thomas-1,3f22d5fe-e6e4-4aab-8992-caf75caf999a,,1983.0,zavion thomas,28909795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4427391,Kenny McIntosh,0.0,26.4,40267.0,4427391.0,1172050.0,20.0,56102.0,40267.0,,7.0,RB,204.0,16170.0,Georgia,,McInKe00,24373.0,Kenny McIntosh,17002.0,99158.0,2000-03-03,2023.0,2026.0,72.0,10216.0,FA,,00-0038636,237.0,kenny-mcintosh-1,9956eabc-16da-4a1c-ab80-fe0910bcaa12,25329.0,1385.0,kenny mcintosh,3121460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
4361861,Tyler Lacy,0.0,26.7,40161.0,4361861.0,1125659.0,28.0,55995.0,40161.0,,4.0,DT,279.0,16302.0,Oklahoma State,,LacyTy00,24274.0,Tyler Lacy,16968.0,76836.0,1999-11-10,2023.0,2026.0,76.0,10941.0,DET,,00-0038940,130.0,tyler-lacy-1,e21d11de-78f9-47a9-b69a-ae18207ab2c7,25507.0,,tyler lacy,2966296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9
